[*] 股票代码: hs_002076,  当前价为: 4.34, 最高价为: 4.66, 最低价为: 2.63
[*] 股票代码: hs_000712,  当前价为: 14.65, 最高价为: 15.27, 最低价为: 8.80
[*] 股票代码: hs_600352,  当前价为: 11.00, 最高价为: 11.25, 最低价为: 8.79
[*] 股票代码: hs_300603,  当前价为: 30.84, 最高价为: 31.80, 最低价为: 20.33
[*] 股票代码: hs_600083,  当前价为: 18.41, 最高价为: 19.15, 最低价为: 16.11
[*] 股票代码: hs_603188,  当前价为: 9.16, 最高价为: 9.38, 最低价为: 6.97
[*] 股票代码: hs_000766,  当前价为: 8.10, 最高价为: 9.30, 最低价为: 5.81
[*] 股票代码: hs_002910,  当前价为: 14.14, 最高价为: 14.35, 最低价为: 10.06
[*] 股票代码: hs_300063,  当前价为: 4.07, 最高价为: 4.31, 最低价为: 2.79
[*] 股票代码: hs_002604,  当前价为: 1.93, 最高价为: 2.16, 最低价为: 1.36
[*] 股票代码: hs_603706,  当前价为: 28.55, 最高价为: 33.65, 最低价为: 21.66
[*] 股票代码: hs_601038,  当前价为: 5.52, 最高价为: 5.80, 最低价为: 3.94
[*] 股票代码: hs_603996,  当前价为: 11.95, 最高价为: 12.51, 最低价为: 7.23
[*] 股票代码: hs_002433,  当前价为: 6.13, 最高价为: 6.20, 最低价为: 4.50
[*] 股票代码: hs_600526,  当前价为: 6.21, 最高价为: 6.34, 最低价为: 3.43
[*] 股票代码: hs_601088,  当前价为: 20.91, 最高价为: 21.68, 最低价为: 17.38
[*] 股票代码: hs_600689,  当前价为: 11.74, 最高价为: 12.18, 最低价为: 8.03
[*] 股票代码: hs_601069,  当前价为: 16.05, 最高价为: 16.49, 最低价为: 12.53
[*] 股票代码: hs_300111,  当前价为: 3.01, 最高价为: 3.05, 最低价为: 1.94
[*] 股票代码: hs_600651,  当前价为: 5.80, 最高价为: 5.80, 最低价为: 2.57
[*] 股票代码: hs_600803,  当前价为: 11.84, 最高价为: 11.88, 最低价为: 9.71
[*] 股票代码: hs_002501,  当前价为: 3.78, 最高价为: 3.89, 最低价为: 2.36
[*] 股票代码: hs_600516,  当前价为: 22.94, 最高价为: 23.76, 最低价为: 16.24
[*] 股票代码: hs_600259,  当前价为: 31.19, 最高价为: 31.19, 最低价为: 19.68
[*] 股票代码: hs_603366,  当前价为: 5.06, 最高价为: 5.16, 最低价为: 3.50
[*] 股票代码: hs_300152,  当前价为: 3.11, 最高价为: 3.48, 最低价为: 1.65
[*] 股票代码: hs_603993,  当前价为: 5.15, 最高价为: 5.34, 最低价为: 3.62
[*] 股票代码: hs_600031,  当前价为: 11.22, 最高价为: 11.79, 最低价为: 7.77
[*] 股票代码: hs_600418,  当前价为: 5.68, 最高价为: 5.73, 最低价为: 4.27
[*] 股票代码: hs_600466,  当前价为: 6.72, 最高价为: 6.95, 最低价为: 5.01
[*] 股票代码: hs_600321,  当前价为: 2.49, 最高价为: 2.49, 最低价为: 1.75
[*] 股票代码: hs_603366,  当前价为: 5.06, 最高价为: 5.16, 最低价为: 3.50
[*] 股票代码: hs_601058,  当前价为: 3.00, 最高价为: 3.03, 最低价为: 2.21
[*] 股票代码: hs_600756,  当前价为: 28.08, 最高价为: 28.08, 最低价为: 14.75
[*] 股票代码: hs_600638,  当前价为: 10.41, 最高价为: 10.50, 最低价为: 8.30
[*] 股票代码: hs_601857,  当前价为: 7.94, 最高价为: 8.02, 最低价为: 7.12
[*] 股票代码: hs_601155,  当前价为: 34.96, 最高价为: 37.29, 最低价为: 22.99
[*] 股票代码: hs_601101,  当前价为: 6.99, 最高价为: 7.14, 最低价为: 5.78
[*] 股票代码: hs_600866,  当前价为: 4.54, 最高价为: 4.54, 最低价为: 3.04
[*] 股票代码: hs_600325,  当前价为: 7.87, 最高价为: 8.06, 最低价为: 6.03
[*] 股票代码: hs_600355,  当前价为: 5.00, 最高价为: 5.08, 最低价为: 3.24
[*] 股票代码: hs_600362,  当前价为: 16.80, 最高价为: 17.35, 最低价为: 12.71
[*] 股票代码: hs_600830,  当前价为: 6.87, 最高价为: 7.16, 最低价为: 4.67
[*] 股票代码: hs_600706,  当前价为: 12.11, 最高价为: 12.15, 最低价为: 10.01
[*] 股票代码: hs_600312,  当前价为: 9.05, 最高价为: 9.68, 最低价为: 7.20
[*] 股票代码: hs_600898,  当前价为: 9.60, 最高价为: 9.85, 最低价为: 6.66
[*] 股票代码: hs_603127,  当前价为: 66.42, 最高价为: 72.63, 最低价为: 43.44
[*] 股票代码: hs_601628,  当前价为: 30.35, 最高价为: 33.00, 最低价为: 19.78
[*] 股票代码: hs_600271,  当前价为: 30.75, 最高价为: 30.78, 最低价为: 22.13
[*] 股票代码: hs_603586,  当前价为: 15.98, 最高价为: 16.08, 最低价为: 12.28
[*] 股票代码: hs_603609,  当前价为: 11.62, 最高价为: 12.26, 最低价为: 7.21
[*] 股票代码: hs_600462,  当前价为: 2.55, 最高价为: 3.92, 最低价为: 1.77
[*] 股票代码: hs_601872,  当前价为: 4.84, 最高价为: 4.92, 最低价为: 3.60
[*] 股票代码: hs_600491,  当前价为: 7.88, 最高价为: 8.13, 最低价为: 6.06
[*] 股票代码: hs_603042,  当前价为: 15.92, 最高价为: 17.20, 最低价为: 11.48
[*] 股票代码: hs_600371,  当前价为: 7.96, 最高价为: 8.04, 最低价为: 5.80
[*] 股票代码: hs_600508,  当前价为: 11.07, 最高价为: 11.22, 最低价为: 9.55
[*] 股票代码: hs_600195,  当前价为: 12.48, 最高价为: 12.79, 最低价为: 10.25
[*] 股票代码: hs_603611,  当前价为: 16.77, 最高价为: 18.34, 最低价为: 11.71
[*] 股票代码: hs_603367,  当前价为: 17.30, 最高价为: 18.78, 最低价为: 13.76
[*] 股票代码: hs_603227,  当前价为: 4.75, 最高价为: 4.80, 最低价为: 3.55
