[*] 股票代码: hs_002076,  当前价为: 4.85, 最高价为: 6.75, 最低价为: 2.32
[*] 股票代码: hs_000712,  当前价为: 13.70, 最高价为: 17.28, 最低价为: 7.22
[*] 股票代码: hs_600352,  当前价为: 11.30, 最高价为: 13.33, 最低价为: 7.96
[*] 股票代码: hs_300603,  当前价为: 28.65, 最高价为: 49.56, 最低价为: 19.66
[*] 股票代码: hs_600083,  当前价为: 17.94, 最高价为: 21.77, 最低价为: 12.80
[*] 股票代码: hs_603188,  当前价为: 9.15, 最高价为: 17.10, 最低价为: 6.97
[*] 股票代码: hs_000766,  当前价为: 7.59, 最高价为: 18.73, 最低价为: 5.81
[*] 股票代码: hs_002910,  当前价为: 13.12, 最高价为: 29.88, 最低价为: 10.06
[*] 股票代码: hs_300063,  当前价为: 3.95, 最高价为: 5.83, 最低价为: 2.64
[*] 股票代码: hs_002604,  当前价为: 1.91, 最高价为: 12.76, 最低价为: 1.36
[*] 股票代码: hs_603706,  当前价为: 28.55, 最高价为: 57.83, 最低价为: 18.85
[*] 股票代码: hs_601038,  当前价为: 5.37, 最高价为: 8.36, 最低价为: 3.94
[*] 股票代码: hs_603996,  当前价为: 10.68, 最高价为: 19.63, 最低价为: 6.72
[*] 股票代码: hs_002433,  当前价为: 5.80, 最高价为: 9.48, 最低价为: 4.06
[*] 股票代码: hs_600526,  当前价为: 5.82, 最高价为: 9.75, 最低价为: 3.43
[*] 股票代码: hs_601088,  当前价为: 19.98, 最高价为: 28.52, 最低价为: 16.70
[*] 股票代码: hs_600689,  当前价为: 13.06, 最高价为: 15.42, 最低价为: 6.60
[*] 股票代码: hs_601069,  当前价为: 14.56, 最高价为: 26.02, 最低价为: 12.34
[*] 股票代码: hs_300111,  当前价为: 2.96, 最高价为: 4.34, 最低价为: 1.85
[*] 股票代码: hs_600651,  当前价为: 6.85, 最高价为: 10.33, 最低价为: 2.57
[*] 股票代码: hs_600803,  当前价为: 11.57, 最高价为: 15.40, 最低价为: 9.71
[*] 股票代码: hs_002501,  当前价为: 3.50, 最高价为: 10.34, 最低价为: 2.36
[*] 股票代码: hs_600516,  当前价为: 23.10, 最高价为: 31.94, 最低价为: 16.24
[*] 股票代码: hs_600259,  当前价为: 32.41, 最高价为: 39.28, 最低价为: 19.68
[*] 股票代码: hs_603366,  当前价为: 5.37, 最高价为: 6.66, 最低价为: 3.12
[*] 股票代码: hs_300152,  当前价为: 2.66, 最高价为: 7.15, 最低价为: 1.65
