[*] 股票代码: hs_002076,  当前价为: 3.36, 最高价为: 4.66, 最低价为: 2.63
[*] 股票代码: hs_000712,  当前价为: 10.56, 最高价为: 11.44, 最低价为: 8.80
[*] 股票代码: hs_600352,  当前价为: 10.42, 最高价为: 10.42, 最低价为: 8.52
[*] 股票代码: hs_300603,  当前价为: 25.44, 最高价为: 30.01, 最低价为: 20.33
[*] 股票代码: hs_600083,  当前价为: 17.11, 最高价为: 19.99, 最低价为: 16.11
[*] 股票代码: hs_603188,  当前价为: 8.06, 最高价为: 8.96, 最低价为: 6.97
[*] 股票代码: hs_000766,  当前价为: 6.94, 最高价为: 9.30, 最低价为: 5.81
[*] 股票代码: hs_002910,  当前价为: 12.18, 最高价为: 14.37, 最低价为: 10.06
[*] 股票代码: hs_300063,  当前价为: 3.24, 最高价为: 4.31, 最低价为: 2.79
[*] 股票代码: hs_002604,  当前价为: 1.56, 最高价为: 2.16, 最低价为: 1.36
[*] 股票代码: hs_603706,  当前价为: 24.50, 最高价为: 33.97, 最低价为: 21.66
[*] 股票代码: hs_601038,  当前价为: 4.68, 最高价为: 5.80, 最低价为: 3.94
[*] 股票代码: hs_603996,  当前价为: 9.85, 最高价为: 10.80, 最低价为: 7.23
[*] 股票代码: hs_002433,  当前价为: 5.20, 最高价为: 5.46, 最低价为: 4.50
[*] 股票代码: hs_600526,  当前价为: 4.07, 最高价为: 5.58, 最低价为: 3.43
[*] 股票代码: hs_601088,  当前价为: 19.99, 最高价为: 20.23, 最低价为: 17.38
[*] 股票代码: hs_600689,  当前价为: 10.66, 最高价为: 11.76, 最低价为: 8.03
[*] 股票代码: hs_601069,  当前价为: 13.74, 最高价为: 16.85, 最低价为: 12.53
[*] 股票代码: hs_300111,  当前价为: 2.49, 最高价为: 2.88, 最低价为: 1.94
[*] 股票代码: hs_600651,  当前价为: 3.13, 最高价为: 3.82, 最低价为: 2.57
[*] 股票代码: hs_600803,  当前价为: 10.73, 最高价为: 11.25, 最低价为: 9.71
[*] 股票代码: hs_002501,  当前价为: 2.83, 最高价为: 3.82, 最低价为: 2.36
[*] 股票代码: hs_600516,  当前价为: 20.44, 最高价为: 20.66, 最低价为: 16.24
[*] 股票代码: hs_600259,  当前价为: 22.78, 最高价为: 26.45, 最低价为: 19.68
[*] 股票代码: hs_603366,  当前价为: 4.34, 最高价为: 5.54, 最低价为: 3.50
[*] 股票代码: hs_300152,  当前价为: 2.07, 最高价为: 3.48, 最低价为: 1.65
[*] 股票代码: hs_603993,  当前价为: 4.32, 最高价为: 4.33, 最低价为: 3.62
[*] 股票代码: hs_600031,  当前价为: 9.91, 最高价为: 9.94, 最低价为: 7.72
[*] 股票代码: hs_600418,  当前价为: 4.92, 最高价为: 5.64, 最低价为: 4.27
